,Actual,Predicted,Prob is Ham,Prob is Spam
0,0,0,0.8654625252523978,0.13453747474760225
1,0,0,0.8989186666293838,0.1010813333706162
2,1,0,0.8605821499043723,0.13941785009562768
3,0,0,0.859309213598856,0.14069078640114396
4,0,0,0.8766277397738061,0.12337226022619381
5,1,0,0.9114076967132363,0.08859230328676375
6,0,0,0.8548222215570164,0.14517777844298363
7,0,0,0.876817293629832,0.12318270637016808
8,1,0,0.9044378081311548,0.09556219186884517
9,1,0,0.9325170543230581,0.06748294567694195
10,0,0,0.8814238816300958,0.11857611836990418
11,1,0,0.8206585441652197,0.1793414558347803
12,1,0,0.9015524487602207,0.09844755123977933
13,0,0,0.8615685126588667,0.13843148734113328
14,0,0,0.8513298348081193,0.14867016519188075
15,1,0,0.8859029186372498,0.11409708136275017
16,0,0,0.8373173163939593,0.1626826836060407
17,0,0,0.8282212689780089,0.17177873102199115
18,0,0,0.8019912947050226,0.19800870529497736
19,1,0,0.8642222989995575,0.1357777010004425
20,0,0,0.8904018253244255,0.10959817467557449
21,0,0,0.8966165532842051,0.10338344671579489
22,0,0,0.8689892154404191,0.13101078455958098
23,0,0,0.8845843085162014,0.11541569148379856
24,0,0,0.8297644282414245,0.1702355717585755
25,0,0,0.868053217534998,0.131946782465002
26,0,0,0.8710761989772244,0.12892380102277554
27,0,0,0.8328524471269714,0.1671475528730286
28,0,0,0.8539493524884194,0.14605064751158056
29,0,0,0.8676676610859446,0.13233233891405533
30,0,0,0.8996456131743292,0.10035438682567081
31,0,0,0.8837530526144213,0.11624694738557878
32,0,0,0.8663960640212689,0.13360393597873116
33,0,0,0.8772381966417084,0.12276180335829151
34,1,0,0.878156859572874,0.12184314042712595
35,0,0,0.8907022040985456,0.10929779590145436
36,0,0,0.8998201598982342,0.10017984010176585
37,0,0,0.861860760249034,0.138139239750966
38,0,0,0.8673267452034606,0.13267325479653935
39,0,0,0.8777017214902114,0.12229827850978853
40,0,0,0.8777604505566124,0.12223954944338751
41,0,0,0.8895755645457961,0.11042443545420387
42,1,0,0.9140105434488408,0.08598945655115917
43,0,0,0.8855783765862911,0.1144216234137089
44,0,0,0.9012414719945875,0.09875852800541249
45,0,0,0.9195571682994996,0.08044283170050032
46,0,0,0.8745714025848679,0.12542859741513215
47,0,0,0.8961984616080855,0.10380153839191457
